,Location Id,Easting,Northing
0,L1000007,458300.0,263000.0
1,L1000018,427801.0,282900.0
2,L1000019,487900.0,269200.0
3,L1000036,423200.0,292900.0
4,L1000080,407851.0,301448.0
5,L1000081,501700.0,273500.0
6,L1000116,446000.0,295700.0
7,L1000118,439800.0,298900.0
8,L1000119,347800.0,430900.0
9,L1000139,463100.0,259200.0
10,L1000144,431122.0,274386.0
11,L1000149,379124.0,433068.0
12,L1000155,397100.0,292600.0
13,L1000170,397250.0,300650.0
14,L1000174,556500.0,202800.0
15,L1000176,495100.0,260600.0
16,L1000182,550690.0,300893.0
17,L1000196,374900.0,136800.0
18,L1000209,397300.0,77400.0
19,L1000213,349600.0,456500.0
20,L1000222,560500.0,286900.0
21,L1000239,646976.0,314979.0
22,L1000241,420200.0,606000.0
23,L1000252,618600.0,245900.0
24,L1000261,576900.0,332800.0
25,L1000280,417000.0,296900.0
26,L1000281,652900.0,295700.0
27,L1000287,234100.0,338900.0
28,L1000305,599400.0,257500.0
29,L1000314,575100.0,253300.0
30,L1000316,616850.0,215050.0
31,L1000329,390900.0,439700.0
32,L1000337,629000.0,262200.0
33,L1000341,524200.0,237500.0
34,L1000363,400000.0,500000.0
35,L1000406,456400.0,290500.0
36,L1000416,637000.0,251000.0
37,L1000447,379000.0,657200.0
38,L1000486,625500.0,241900.0
39,L1000489,235500.0,343100.0
40,L1000490,598500.0,288700.0
41,L1000498,267500.0,657500.0
42,L1000508,604800.0,272100.0
43,L1000510,611339.0,252622.0
44,L1000521,347876.0,476321.0
45,L1000530,510600.0,204100.0
46,L1000580,604200.0,226800.0
47,L1000584,535997.0,199210.0
48,L1000601,338300.0,581400.0
49,L1000644,401900.0,383000.0
50,L1000646,567900.0,283600.0
51,L1000648,484878.0,264254.0
52,L1000655,566200.0,278500.0
53,L1000659,508400.0,265700.0
54,L1000681,260400.0,548300.0
55,L1000690,374416.0,402875.0
56,L1000704,616700.0,294400.0
57,L1000706,369000.0,549000.0
58,L1000725,400500.0,642900.0
59,L1000729,223100.0,89100.0
60,L1000757,557600.0,304100.0
61,L1000770,571900.0,336700.0
62,L1000792,222389.0,231259.0
63,L1000798,558900.0,181800.0
64,L1000845,441800.0,348100.0
65,L1000851,376400.0,413800.0
66,L1000854,580400.0,225700.0
67,L1000862,530881.0,208236.0
68,L1000873,595500.0,319300.0
69,L1000874,429800.0,112900.0
70,L1000878,377400.0,221000.0
71,L1000894,646100.0,312600.0
72,L1000906,610200.0,301200.0
73,L1000949,642600.0,302500.0
74,L1000960,256700.0,129900.0
75,L1000963,561600.0,140000.0
76,L1000982,355100.0,130900.0
77,L1001022,355700.0,427100.0
78,L1001029,453300.0,90200.0
79,L1001031,492540.0,441655.0
80,L1001041,536800.0,285600.0
81,L1001047,632700.0,274200.0
82,L1001052,225983.0,249150.0
83,L1001053,561106.0,307038.0
84,L1001057,470700.0,355300.0
85,L1001062,600500.0,276700.0
86,L1001069,563200.0,306200.0
87,L1001075,640400.0,289499.0
88,L1001097,385900.0,155400.0
89,L1001098,642299.0,289399.0
90,L10011,452900.0,286200.0
91,L1001107,631100.0,292400.0
92,L1001114,646400.0,286700.0
93,L1001115,430891.0,361370.0
94,L1001117,614200.0,291500.0
95,L1001120,360800.0,131700.0
96,L1001126,640100.0,274200.0
97,L1001132,360000.0,97500.0
98,L1001139,470070.0,343230.0
99,L1001161,626500.0,297200.0
100,L1001176,621110.0,282690.0
101,L1001177,365005.0,330998.0
102,L1001182,599103.0,276293.0
103,L1001185,396627.0,416559.0
104,L1001190,504951.0,346249.0
105,L1001195,450900.0,76800.0
106,L1001201,619400.0,279900.0
107,L1001216,255500.0,638500.0
108,L1001222,425900.0,373000.0
109,L1001230,642746.0,267982.0
110,L1001237,306400.0,860500.0
111,L1001260,591700.0,243700.0
112,L10013,474600.0,239200.0
113,L1001316,277900.0,195800.0
114,L1001334,429548.0,113153.0
115,L1001343,612229.0,337164.0
116,L1001347,302300.0,369800.0
117,L1001378,607000.0,304000.0
118,L1001392,539300.0,295800.0
119,L1001407,546800.0,308400.0
120,L1001415,392150.0,311610.0
121,L1001423,642200.0,280300.0
122,L1001427,352800.0,175300.0
123,L1001431,446785.0,361709.0
124,L1001446,509300.0,145100.0
125,L1001450,544500.0,390300.0
126,L1001460,247400.0,338500.0
127,L1001461,410500.0,425100.0
128,L1001462,635000.0,280499.0
129,L1001465,598800.0,274900.0
130,L1001470,238200.0,623600.0
131,L1001472,641000.0,281000.0
132,L1001483,541251.0,318949.0
133,L1001486,364200.0,438500.0
134,L1001487,563800.0,276400.0
135,L1001492,434699.0,427000.0
136,L1001494,612203.0,246484.0
137,L1001501,541900.0,298500.0
138,L1001508,615468.0,255594.0
139,L1001524,549300.0,297300.0
140,L1001525,473400.0,322000.0
141,L1001526,594200.0,251100.0
142,L1001533,431600.0,213800.0
143,L1001547,527000.0,297000.0
144,L1001568,619000.0,158600.0
145,L1001575,611900.0,260400.0
146,L1001578,384609.0,381333.0
147,L1001583,374951.0,216150.0
148,L1001592,540500.0,308400.0
149,L1001606,644700.0,281676.0
150,L1001607,282200.0,126400.0
151,L1001621,250500.0,840300.0
152,L1001640,459700.0,169100.0
153,L1001647,204100.0,59000.0
154,L1001656,564450.0,185350.0
155,L1001669,535500.0,302800.0
156,L1001677,545400.0,304300.0
157,L1001678,437891.0,459532.0
158,L1001691,631600.0,264000.0
159,L1001693,583564.0,216311.0
160,L1001698,552000.0,318600.0
