,reportDate,infDate,confDate,cullStart,cullEnd
0,2022-11-28,,,,
1,2022-11-28,,,,
2,2022-11-26,,,2022-11-30,2022-11-30
3,2022-11-26,2022-11-21,2022-11-27,2022-11-29,
4,2022-11-25,,,,
5,2022-11-25,2022-11-19,2022-11-26,2022-11-29,2022-11-29
6,2022-11-23,,,,
7,2022-11-23,,,,
8,2022-11-21,,,,
9,2022-11-21,2022-11-12,2022-11-23,2022-11-25,2022-11-28
10,2022-11-21,,,,
11,2022-11-20,,,,
12,2022-11-20,2022-11-13,2022-11-22,2022-11-24,2022-11-26
13,2022-11-20,2022-11-13,2022-11-22,2022-11-24,2022-11-26
14,2022-11-20,2022-11-12,2022-11-22,2022-11-23,2022-11-23
15,2022-11-20,2022-11-12,2022-11-22,2022-11-23,2022-11-23
16,2022-11-20,2022-11-14,2022-11-21,2022-11-23,2022-11-28
17,2022-11-19,2022-11-15,2022-11-20,2022-11-23,2022-11-23
18,2022-11-19,2022-11-15,2022-11-20,2022-11-22,2022-11-23
19,2022-11-19,2022-11-15,2022-11-20,2022-11-22,2022-11-23
20,2022-11-18,2022-11-11,2022-11-20,2022-11-22,2022-11-22
21,2022-11-18,,,,
22,2022-11-17,2022-11-11,2022-11-18,2022-11-21,2022-11-22
23,2022-11-16,,,,
24,2022-11-16,2022-11-09,2022-11-18,2022-11-20,2022-11-20
25,2022-11-15,2022-11-10,2022-11-16,2022-11-18,2022-11-19
26,2022-11-15,2022-11-10,2022-11-16,2022-11-18,2022-11-18
27,2022-11-14,2022-11-09,2022-11-15,,
28,2022-11-14,2022-11-10,2022-11-15,2022-11-18,2022-11-19
29,2022-11-13,2022-11-09,2022-11-14,2022-11-16,2022-11-16
30,2022-11-13,2022-11-08,2022-11-14,2022-11-16,2022-11-17
31,2022-11-13,2022-11-07,2022-11-14,2022-11-16,2022-11-16
32,2022-11-11,2022-11-06,2022-11-13,2022-11-15,2022-11-17
33,2022-11-11,,,,
34,2022-11-10,2022-11-02,2022-11-11,2022-11-12,2022-11-13
35,2022-11-09,,,,
36,2022-11-09,2022-11-02,2022-11-11,2022-11-13,2022-11-16
37,2022-11-09,2022-11-03,2022-11-10,2022-11-13,2022-11-14
38,2022-11-08,2022-10-29,2022-11-10,2022-11-11,2022-11-11
39,2022-11-08,2022-11-02,2022-11-10,2022-11-11,2022-11-11
40,2022-11-08,,,,
41,2022-11-08,2022-11-04,2022-11-09,2022-11-14,2022-11-16
42,2022-11-07,2022-11-03,2022-11-09,2022-11-11,2022-11-14
43,2022-11-07,2022-11-03,2022-11-08,2022-11-09,2022-11-11
44,2022-11-06,,,,
45,2022-11-06,2022-11-01,2022-11-07,2022-11-08,2022-11-08
46,2022-11-05,2022-10-30,2022-11-07,2022-11-11,2022-11-13
47,2022-11-05,2022-11-01,2022-11-06,2022-11-09,2022-11-09
48,2022-11-05,2022-11-01,2022-11-06,2022-11-07,2022-11-07
49,2022-11-04,2022-10-25,2022-11-06,2022-11-09,2022-11-09
50,2022-11-04,,,,
51,2022-11-04,2022-10-31,2022-11-05,,2022-11-10
52,2022-11-03,,,,
53,2022-11-03,,,,
54,2022-11-03,,,,
55,2022-11-03,2022-10-29,2022-11-04,2022-11-06,2022-11-06
56,2022-11-03,2022-10-29,2022-11-04,2022-11-07,2022-11-09
57,2022-11-02,2022-10-29,2022-11-05,2022-11-09,2022-11-09
58,2022-11-02,,,,
59,2022-11-02,,,,
60,2022-11-01,2022-10-25,2022-11-03,2022-11-04,2022-11-04
61,2022-11-01,2022-10-25,2022-11-03,2022-11-07,2022-11-10
62,2022-11-01,,,,
63,2022-11-01,,,,
64,2022-10-31,2022-10-25,2022-11-02,2022-11-07,2022-11-07
65,2022-10-31,,,,
66,2022-10-31,2022-10-26,2022-11-02,2022-11-05,2022-11-05
67,2022-10-31,2022-10-26,2022-11-02,2022-11-05,2022-11-07
68,2022-10-31,2022-10-27,2022-11-01,2022-11-03,2022-11-06
69,2022-10-31,2022-10-25,2022-11-03,2022-11-06,2022-11-07
70,2022-10-31,2022-10-27,2022-11-01,2022-11-03,2022-11-06
71,2022-10-30,2022-10-22,2022-11-01,2022-11-03,2022-11-03
72,2022-10-30,2022-10-24,2022-10-31,2022-11-07,2022-11-07
73,2022-10-30,2022-10-25,2022-10-31,2022-11-01,2022-11-01
74,2022-10-29,,,,
75,2022-10-29,,,,
76,2022-10-28,2022-10-23,2022-10-29,2022-10-31,2022-11-02
77,2022-10-28,2022-10-21,2022-10-29,2022-11-02,2022-11-04
78,2022-10-28,2022-10-23,2022-10-29,2022-10-31,2022-10-31
79,2022-10-27,2022-10-22,2022-10-30,2022-11-02,2022-11-03
80,2022-10-27,2022-10-22,2022-10-29,2022-11-01,2022-11-01
81,2022-10-27,2022-10-17,2022-10-29,2022-11-03,2022-11-04
82,2022-10-27,2022-10-21,2022-10-28,2022-11-02,2022-11-02
83,2022-10-26,2022-10-21,2022-10-28,2022-11-01,2022-11-02
84,2022-10-26,2022-10-14,2022-10-27,2022-10-31,2022-11-02
85,2022-10-26,,,,
86,2022-10-25,2022-10-19,2022-10-26,2022-10-27,2022-10-27
87,2022-10-25,2022-10-20,2022-10-26,,
88,2022-10-24,2022-10-19,2022-10-26,2022-10-27,2022-10-27
89,2022-10-24,2022-10-18,2022-10-26,2022-10-31,2022-10-31
90,2022-10-24,,,,
91,2022-10-23,,,,
92,2022-10-23,2022-10-10,2022-10-26,2022-11-02,2022-11-02
93,2022-10-23,2022-10-17,2022-10-24,2022-10-25,2022-10-25
94,2022-10-22,2022-10-15,2022-10-24,2022-10-28,2022-10-28
95,2022-10-22,2022-10-16,2022-10-23,2022-10-31,2022-10-31
96,2022-10-22,2022-10-16,2022-10-23,2022-10-28,2022-10-28
97,2022-10-22,2022-10-17,2022-10-23,2022-10-24,2022-10-24
98,2022-10-21,2022-10-10,2022-10-23,2022-10-25,2022-10-25
