Bird ID,Lab ID,Species Name,Final Result,Virus Isolated,Date Received,COUNTY,COUNTRY,speciesName,birdFamily,Order,originalReportedOSRef,originalOSEasting,originalOSNorthing,Case Ref Number,Index Bird,Case Ref Name,Town,District,County,Country,Species,Test date,Date PHE informed,High Path,Postcode,Comment,date,easting,northing,latitude,longitude,osGridRef
AVA-21-050799,AV001973-21,TUFTED_DUCK,Negative,NA,2021-10-05T00:00:00Z,GREATER LONDON,ENGLAND,TUFTED_DUCK,ducks/geese/swans,Anseriformes,TQ2260576837,522605,176837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVA-21-050998,AV001979-21,BLACK-HEADED_GULL,Negative,NA,2021-10-06T00:00:00Z,TYNE & WEAR,ENGLAND,BLACK-HEADED_GULL,gulls/terns,Charadriiformes,NZ3300356486,433003,556486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVA-21-051051,AV001985-21,UNSPECIFIED_BIRD,Negative,NA,2021-10-07T00:00:00Z,ABERDEENSHIRE,SCOTLAND,UNSPECIFIED_BIRD,unspecified,Unknown,NK1348642326,413486,842326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVA-21-051052,AV001985-21,UNSPECIFIED_BIRD,Negative,NA,2021-10-07T00:00:00Z,ABERDEENSHIRE,SCOTLAND,UNSPECIFIED_BIRD,unspecified,Unknown,NK1348642326,413486,842326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVA-21-051053,AV001985-21,UNSPECIFIED_BIRD,Negative,NA,2021-10-07T00:00:00Z,ABERDEENSHIRE,SCOTLAND,UNSPECIFIED_BIRD,unspecified,Unknown,NK1348642326,413486,842326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVA-21-051054,AV001985-21,UNSPECIFIED_BIRD,Negative,NA,2021-10-07T00:00:00Z,ABERDEENSHIRE,SCOTLAND,UNSPECIFIED_BIRD,unspecified,Unknown,NK1348642326,413486,842326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVA-21-051055,AV001985-21,UNSPECIFIED_BIRD,Negative,NA,2021-10-07T00:00:00Z,ABERDEENSHIRE,SCOTLAND,UNSPECIFIED_BIRD,unspecified,Unknown,NK1348642326,413486,842326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVA-21-051056,AV001985-21,UNSPECIFIED_BIRD,Negative,NA,2021-10-07T00:00:00Z,ABERDEENSHIRE,SCOTLAND,UNSPECIFIED_BIRD,unspecified,Unknown,NK1348642326,413486,842326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVA-21-051057,AV001985-21,UNSPECIFIED_BIRD,Negative,NA,2021-10-07T00:00:00Z,ABERDEENSHIRE,SCOTLAND,UNSPECIFIED_BIRD,unspecified,Unknown,NK1348642326,413486,842326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVA-21-051058,AV001985-21,UNSPECIFIED_BIRD,Negative,NA,2021-10-07T00:00:00Z,ABERDEENSHIRE,SCOTLAND,UNSPECIFIED_BIRD,unspecified,Unknown,NK1348642326,413486,842326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
